SNo,SPP,Block,ICR,Inv,SMB,Tags,FieldSCBName
206,Phelan,PH,ICR04,INV02,SCB15,ITC4_INV2_CT15_A,ICR04_INV02_SCB11
207,Phelan,PH,ICR04,INV02,SCB16,ITC4_INV2_CT16_A,ICR04_INV02_SCB12
208,Phelan,PH,ICR04,INV02,SCB17,ITC4_INV2_CT17_A,ICR04_INV02_SCB13
209,Phelan,PH,ICR04,INV02,SCB18,ITC4_INV2_CT18_A,ICR04_INV02_SCB14
210,Phelan,PH,ICR04,INV02,SCB19,ITC4_INV2_CT19_A,ICR04_INV02_SCB15
211,Phelan,PH,ICR04,INV03,SCB01,ITC4_INV3_CT1_A,ICR04_INV03_SCB01
212,Phelan,PH,ICR04,INV03,SCB02,ITC4_INV3_CT2_A,ICR04_INV03_SCB02
213,Phelan,PH,ICR04,INV03,SCB03,ITC4_INV3_CT3_A,ICR04_INV03_SCB03
214,Phelan,PH,ICR04,INV03,SCB04,ITC4_INV3_CT4_A,ICR04_INV03_SCB04
215,Phelan,PH,ICR04,INV03,SCB05,ITC4_INV3_CT5_A,ICR04_INV03_SCB05
216,Phelan,PH,ICR04,INV03,SCB08,ITC4_INV3_CT8_A,ICR04_INV03_SCB06
217,Phelan,PH,ICR04,INV03,SCB09,ITC4_INV3_CT9_A,ICR04_INV03_SCB07
218,Phelan,PH,ICR04,INV03,SCB10,ITC4_INV3_CT10_A,ICR04_INV03_SCB08
219,Phelan,PH,ICR04,INV03,SCB11,ITC4_INV3_CT11_A,ICR04_INV03_SCB09
220,Phelan,PH,ICR04,INV03,SCB12,ITC4_INV3_CT12_A,ICR04_INV03_SCB10
221,Phelan,PH,ICR04,INV03,SCB15,ITC4_INV3_CT15_A,ICR04_INV03_SCB11
222,Phelan,PH,ICR04,INV03,SCB16,ITC4_INV3_CT16_A,ICR04_INV03_SCB12
223,Phelan,PH,ICR04,INV03,SCB17,ITC4_INV3_CT17_A,ICR04_INV03_SCB13
224,Phelan,PH,ICR04,INV03,SCB18,ITC4_INV3_CT18_A,ICR04_INV03_SCB14
225,Phelan,PH,ICR04,INV03,SCB19,ITC4_INV3_CT19_A,ICR04_INV03_SCB15
226,Phelan,PH,ICR04,INV04,SCB01,ITC4_INV4_CT1_A,ICR04_INV04_SCB01
227,Phelan,PH,ICR04,INV04,SCB02,ITC4_INV4_CT2_A,ICR04_INV04_SCB02
228,Phelan,PH,ICR04,INV04,SCB03,ITC4_INV4_CT3_A,ICR04_INV04_SCB03
229,Phelan,PH,ICR04,INV04,SCB04,ITC4_INV4_CT4_A,ICR04_INV04_SCB04
230,Phelan,PH,ICR04,INV04,SCB05,ITC4_INV4_CT5_A,ICR04_INV04_SCB05
231,Phelan,PH,ICR04,INV04,SCB08,ITC4_INV4_CT8_A,ICR04_INV04_SCB06
232,Phelan,PH,ICR04,INV04,SCB09,ITC4_INV4_CT9_A,ICR04_INV04_SCB07
233,Phelan,PH,ICR04,INV04,SCB10,ITC4_INV4_CT10_A,ICR04_INV04_SCB08
234,Phelan,PH,ICR04,INV04,SCB11,ITC4_INV4_CT11_A,ICR04_INV04_SCB09
235,Phelan,PH,ICR04,INV04,SCB12,ITC4_INV4_CT12_A,ICR04_INV04_SCB10
236,Phelan,PH,ICR04,INV04,SCB15,ITC4_INV4_CT15_A,ICR04_INV04_SCB11
237,Phelan,PH,ICR04,INV04,SCB16,ITC4_INV4_CT16_A,ICR04_INV04_SCB12
238,Phelan,PH,ICR04,INV04,SCB17,ITC4_INV4_CT17_A,ICR04_INV04_SCB13
239,Phelan,PH,ICR04,INV04,SCB18,ITC4_INV4_CT18_A,ICR04_INV04_SCB14
240,Phelan,PH,ICR04,INV04,SCB19,ITC4_INV4_CT19_A,ICR04_INV04_SCB15
